id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4633131988292961,KdTUGyNnr,21岁，正青春，21岁，爱咖啡！今天5月4日，青年节也是星巴克来到上海的21年，21岁🎂。21年了！看到2000年霍华德先生这张稍显的模糊的剪彩的照片，不仅想说时间真快，小编还依稀记得2000年秋天在这家星巴克第一次喝“拿铁咖啡”的时候，伙伴给我解释了下小编当时还不大看得懂的菜单。2000年5月4日随着淮海中路上的一家星巴克开业，星巴克森茂店，美臣店，新天地店陆续开业，到今天，上海已经有超过800家星巴克门店。星巴克咖啡杯越来越多魔都的朋友们认识。在社区，在城市美好的一角，在城市传统特色的豫园，新天地，有着绿色Paw Friendly标识的宠物门店，手语门店，集装箱门店，咖啡酒坊，中国最大的星巴克臻选烘焙工坊，被越来越多的朋友们认识，相遇。这里是上海，这里是东方明珠，这里是魔都，这里是砸劲的上海❤️ 一杯好咖啡，让美好发生，21岁，生日快乐❤️,,"https://wx1.sinaimg.cn/large/001TRdyFly1gq6c6fx23wj60ow0ggtba02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq6c6gd4mpj60gc09vjvz02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq6clv5xqtj60lc0f1q9802.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq6ckugcmoj60zo0mqb2202.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq6cksx7zcj60zo0n1kfn02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq6ckvgb97j60zo11zb2902.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq6ckvx1w2j60zo1761kx02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq6cksmhupj60zo0pwnkv02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq6ckxq4o6j60zo1n7npe02.jpg",,,2021-05-04,iPhone客户端,38,16,8,,
4632803645587844,KdLn6nrEw,下午，茶云时间到～ 柠柚甜品搭配清爽茶云春夏的感觉，到位！ ,,"https://wx2.sinaimg.cn/large/001TRdyFly1gq5b8hkut7j61jk112wx302.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq5b8idpxvj61jk111amr02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq5b8je0bbj61jk112dyn02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq5b8jq9t7j61900u078102.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq5b8iz3a5j61jk2bcb0902.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq5b8kawu9j61jk112ttl02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq5b8h5w3oj617u0u0jz802.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq5b8kz731j61jk2bcx5002.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq5b8lkt65j61ab1xg7wh02.jpg",,,2021-05-03,iPhone客户端,64,20,7,,
4632789981334327,KdL145B7p,👏【在星巴克纸杯上写【兰亭序】是一种怎样的体验】假期进行中，找些美好的点子一起来。【咖啡杯上写书法】 五一小长假限时大赛开始！活动时间：2021.05.03-05.06🙋欢迎星粉们投稿，唐诗三百首，唐诗宋词，现代诗歌，歌词剧本皆可～记得@星巴克中国 🙋毛笔，硬笔，蜡笔皆可🙋带话题 #星粉投稿# 揪5位星粉，赠#星冰粽自然浪# 星冰粽一盒本文作品来自：小红   📖 - 增增的小院儿,,"https://wx2.sinaimg.cn/large/001TRdyFly1gq59dalao9j60zo15xb2902.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq59ddzfhkj60zo13lb2902.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq59dbax5cj60zo19rkjl02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq59dbxmh1j60zo0ygb2902.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq59ddgl7gj60zo153b2902.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq59dcneikj60zo15vb2902.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq59d9v8zxj60zo19ub2902.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq59df7eyqj60zo19je8102.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq59dgi1mhj60zo18vhdt02.jpg",,,2021-05-03,iPhone客户端,118,37,21,"星粉投稿,星冰粽自然浪",星巴克中国
4632753535976439,KdK4hp4Kb,五一哪里不排队？星巴克啡快啊！小编小长假攻略- 啡快，手机点，到店取！不排队～ ,,"https://wx1.sinaimg.cn/large/001TRdyFly1gq55hi96ufj60u01hz47e02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq55hiriibj60u01jpqbj02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq55hhpib6j60u01p1jz902.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq55hj6kcuj60u011aq8b02.jpg",,,2021-05-03,iPhone客户端,33,18,5,,
4632529989013974,KdEfIBOWG,#咖啡夜聊# 之星巴克的冷知识问答后台有星粉问我们星巴克在全球什么时候达到10000门店了，小编大咖叔查实了资料，资料如下：2004年，也就是星巴克在哥斯达黎加的圣何塞拥有了第一种植者支持中心的那一年，同年推出星巴克咖啡大师计划，同年的全球门店数量达到8500+ 。 在2005年，也就是在上海建立了支持中心的那一年，同年门店数量达到了10241家。在Howard的第一本书《将心注入》第二章“ 丰盛的遗产”中，有这样一段描述：1971年4月，星巴克几乎悄无声息的低调开张了。店面设计成传统的航海风格，好想有几十年历史似的。所有的设备都是手工制作…不知不觉，2021年，星巴克迎来自己的50周年庆。星巴克中国门店数量超过5000家，全球的门店数量达到32000+家以上。,,https://wx4.sinaimg.cn/large/001TRdyFly1gq4ftsw3b2j60p90bramo02.jpg,,,2021-05-02,iPhone客户端,37,13,4,咖啡夜聊,
4632360719487192,KdzQHDO3e,今天有打卡@星巴克臻选上海烘焙工坊 的星粉圣殿咖啡的探索者，寻找女神的宝藏已经是开启这场神秘的探索之旅，等待着每一位有冒险精神的你来工坊开启这场旅程 ,,"https://wx3.sinaimg.cn/large/001TRdyFly1gq3wbsw44fj62560zoqvc02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3wbwiuotj62560zoqva02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq3wbzsomhj62560zob2d02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3wbo08cbj62560zo4qv02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq3wbjq3guj61st0sxh4402.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq3wcbmeplj60rs0pugpa02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq3wc4y0c6j62560zohe102.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq3wcag4r0j62560zo1l502.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq3wcb7dqvj61hc0u0jxa02.jpg",,,2021-05-02,iPhone客户端,36,2,4,,星巴克臻选上海烘焙工坊
4632348635695246,KdzxdnTAO,吃好早餐的你出发了吗？ ,,"https://wx3.sinaimg.cn/large/001TRdyFly1gq3sfw4o9jj60u00u01e002.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq3sfwrwtnj60u00u0ttl02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq3sfxlk6lj60u00u0tw302.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3sfts35qj60u00gugxl02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq3sfx3jm2j60zk0nqwmw02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3sftyem7j60u00jzqdu02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq3sfxwcu5j60u0190gtl02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3sfv77d2j60qo0yw1kx02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq3sfthq5hj60u011ie8102.jpg",,,2021-05-02,iPhone客户端,100,32,9,,
4632334571932092,Kdzax86CM,【星巴克早餐——给你的五一充能】星巴克全新早餐菜单14款主食➕3款现调蒸奶任意搭配，丰富选择天天焕新恰到好处的蛋白质与能量满足每日早餐营养所需开启能量满满的一天跟朋友约一个假期星巴克早餐吧 ,,"https://wx2.sinaimg.cn/large/001TRdyFly1gq3t9mhh2nj60u0190gyl02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq3t9o1ms9j63ih2ccx6p02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3t9opmunj60u0190q8c02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3t9p5w7uj61jk0ybaza02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3t9lzfelj60v915oq9n02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3t9pw5i2j61hc0x5qoj02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq3t9qcev2j60u00zvte502.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq3ta0he77j643j656npt02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq3t9kri8wj643j656x7302.jpg",,,2021-05-02,iPhone XS,44,10,5,,
4632060327101548,Kds2ctNr6,#放假星爸爸约起来# 攻略之午后三点的茶云时间到。出游途中解乏的陪伴❤️ ,,"https://wx4.sinaimg.cn/large/001TRdyFly1gq2xulmlguj60u01f5q8g02.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq2xuszgbuj60u00tcwiu02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq2xuzr7e7j60tx0tgtch02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq2xucgif8j60u00urae902.jpg",,,2021-05-01,iPhone客户端,48,16,6,放假星爸爸约起来,
4632016090041133,KdqSR0aHr,【五一出游午餐攻略——星善食】可以随身携带的星善食真是五一出游必备一大利器产品选择丰富自驾、爬山、逛街、聚餐等多场景适用，又好吃又便携带上它，时尚又环保♻️搭配我们的燕麦奶咖啡你就是那个城市最亮的崽🌟小贴士：星善食植物肉更环保哦，五一出游带上星善食的你——也是环保达人,,"https://wx2.sinaimg.cn/large/001TRdyFly1gq2shi52t3j60xc0m8npd02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq2she3snhj60u0190ta402.jpg,https://wx2.sinaimg.cn/large/001TRdyFly1gq2shg2n1sj61ji2b9kjl02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq2shh6dhqj60u018z7ds02.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq2shddi1hj620830ckjn02.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq2sheujwlj60u0140wi102.jpg,https://wx1.sinaimg.cn/large/001TRdyFly1gq2shbfww3j60p00p07wh02.jpg,https://wx3.sinaimg.cn/large/001TRdyFly1gq2shixrrzj60xc0m8e8102.jpg,https://wx4.sinaimg.cn/large/001TRdyFly1gq2shaeza8j60p00p04qp02.jpg",,,2021-05-01,iPhone XS,36,2,4,,
